
2025/01/26 (11:17:46) | ===> btop++ v.1.4.0
2025/01/26 (11:17:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/27 (09:30:06) | ===> btop++ v.1.4.0
2025/01/27 (09:30:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (08:49:33) | ===> btop++ v.1.4.0
2025/01/28 (08:49:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/29 (09:44:42) | ===> btop++ v.1.4.0
2025/01/29 (09:44:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/29 (10:56:10) | ===> btop++ v.1.4.0
2025/01/29 (10:56:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/30 (09:13:46) | ===> btop++ v.1.4.0
2025/01/30 (09:13:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/31 (09:43:34) | ===> btop++ v.1.4.0
2025/01/31 (09:43:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/31 (14:26:51) | ===> btop++ v.1.4.0
2025/01/31 (14:26:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/03 (09:53:51) | ===> btop++ v.1.4.0
2025/02/03 (09:53:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/04 (09:18:04) | ===> btop++ v.1.4.0
2025/02/04 (09:18:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (09:13:57) | ===> btop++ v.1.4.0
2025/02/05 (09:13:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/06 (09:00:53) | ===> btop++ v.1.4.0
2025/02/06 (09:00:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/11 (09:23:17) | ===> btop++ v.1.4.0
2025/02/11 (09:23:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/12 (10:56:30) | ===> btop++ v.1.4.0
2025/02/12 (10:56:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/13 (09:09:00) | ===> btop++ v.1.4.0
2025/02/13 (09:09:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/14 (09:25:46) | ===> btop++ v.1.4.0
2025/02/14 (09:25:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/17 (09:11:26) | ===> btop++ v.1.4.0
2025/02/17 (09:11:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/18 (09:13:12) | ===> btop++ v.1.4.0
2025/02/18 (09:13:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/19 (11:02:10) | ===> btop++ v.1.4.0
2025/02/19 (11:02:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/20 (12:50:18) | ===> btop++ v.1.4.0
2025/02/20 (12:50:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/21 (09:56:20) | ===> btop++ v.1.4.0
2025/02/21 (09:56:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/21 (15:31:13) | ===> btop++ v.1.4.0
2025/02/21 (15:31:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/24 (13:06:19) | ===> btop++ v.1.4.0
2025/02/24 (13:06:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/24 (19:06:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/02/24 (19:06:34) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/02/25 (08:40:34) | ===> btop++ v.1.4.0
2025/02/25 (08:40:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/26 (09:25:45) | ===> btop++ v.1.4.0
2025/02/26 (09:25:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/27 (09:04:22) | ===> btop++ v.1.4.0
2025/02/27 (09:04:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/28 (08:58:27) | ===> btop++ v.1.4.0
2025/02/28 (08:58:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/28 (10:12:11) | ===> btop++ v.1.4.0
2025/02/28 (10:12:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/28 (16:02:25) | ===> btop++ v.1.4.0
2025/02/28 (16:02:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/03 (11:06:05) | ===> btop++ v.1.4.0
2025/03/03 (11:06:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/04 (08:38:51) | ===> btop++ v.1.4.0
2025/03/04 (08:38:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/05 (09:00:37) | ===> btop++ v.1.4.0
2025/03/05 (09:00:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/06 (09:03:39) | ===> btop++ v.1.4.0
2025/03/06 (09:03:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/06 (09:31:02) | ===> btop++ v.1.4.0
2025/03/06 (09:31:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/07 (09:20:32) | ===> btop++ v.1.4.0
2025/03/07 (09:20:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/07 (11:01:31) | ===> btop++ v.1.4.0
2025/03/07 (11:01:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/08 (09:53:16) | ===> btop++ v.1.4.0
2025/03/08 (09:53:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:08:37) | ===> btop++ v.1.4.0
2025/03/10 (15:08:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/17 (13:45:46) | ===> btop++ v.1.4.0
2025/03/17 (13:45:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/29 (15:17:00) | ===> btop++ v.1.4.0
2025/03/29 (15:17:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (21:43:14) | ===> btop++ v.1.4.0
2025/04/10 (21:43:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (22:07:52) | ===> btop++ v.1.4.0
2025/04/10 (22:07:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (22:08:04) | ===> btop++ v.1.4.0
2025/04/10 (22:08:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (22:08:12) | ===> btop++ v.1.4.0
2025/04/10 (22:08:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (22:19:52) | ===> btop++ v.1.4.0
2025/04/10 (22:19:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/10 (22:22:04) | ===> btop++ v.1.4.0
